Date,Residential,Commercial,Industrial,Total
1/1/1990,3.08E+06,2.02E+06,2.43E+06,7.77E+06
2/1/1990,2.66E+06,2.03E+06,2.66E+06,7.62E+06
3/1/1990,2.32E+06,1.87E+06,2.48E+06,6.91E+06
4/1/1990,2.17E+06,1.88E+06,2.54E+06,6.84E+06
5/1/1990,2.03E+06,1.90E+06,2.54E+06,6.71E+06
6/1/1990,2.46E+06,2.15E+06,2.69E+06,7.57E+06
7/1/1990,2.93E+06,2.29E+06,2.70E+06,8.12E+06
8/1/1990,2.86E+06,2.29E+06,2.71E+06,8.13E+06
9/1/1990,2.87E+06,2.31E+06,2.72E+06,8.17E+06
10/1/1990,2.25E+06,2.04E+06,2.64E+06,7.17E+06
11/1/1990,2.21E+06,1.96E+06,2.59E+06,7.00E+06
12/1/1990,NaN,1.95E+06,2.48E+06,7.19E+06
1/1/1991,3.03E+06,2.04E+06,2.46E+06,7.78E+06
2/1/1991,2.84E+06,2.09E+06,2.64E+06,7.83E+06
3/1/1991,2.38E+06,1.88E+06,2.42E+06,6.91E+06
4/1/1991,2.20E+06,1.91E+06,2.53E+06,6.88E+06
5/1/1991,2.17E+06,1.98E+06,2.59E+06,7.01E+06
6/1/1991,2.62E+06,2.27E+06,2.69E+06,7.93E+06
7/1/1991,3.05E+06,2.32E+06,2.64E+06,8.29E+06
8/1/1991,3.00E+06,2.33E+06,2.71E+06,8.33E+06
9/1/1991,2.82E+06,2.32E+06,2.74E+06,8.15E+06
10/1/1991,2.23E+06,2.05E+06,2.63E+06,7.15E+06
11/1/1991,2.36E+06,2.01E+06,2.61E+06,7.22E+06
12/1/1991,2.64E+06,1.98E+06,2.48E+06,7.35E+06
1/1/1992,2.95E+06,2.01E+06,2.50E+06,7.70E+06
2/1/1992,2.83E+06,2.06E+06,2.65E+06,7.80E+06
3/1/1992,2.38E+06,1.92E+06,2.56E+06,7.44E+06
4/1/1992,2.28E+06,1.93E+06,2.61E+06,7.06E+06
5/1/1992,2.09E+06,1.95E+06,2.61E+06,6.89E+06
6/1/1992,2.36E+06,2.17E+06,2.78E+06,7.58E+06
7/1/1992,2.86E+06,2.30E+06,2.74E+06,8.17E+06
8/1/1992,NaN,2.28E+06,2.76E+06,8.17E+06
9/1/1992,2.65E+06,2.27E+06,2.80E+06,8.00E+06
10/1/1992,2.26E+06,NaN,2.69E+06,7.25E+06
11/1/1992,2.34E+06,2.00E+06,2.70E+06,7.28E+06
