wt,hp,econ
1915,80,6.5886
1963,67,9.0467
1980,74,6.5337
1995,67,6.1899
2003,61,7.3505
2019,65,6.323
2065,67,7.2822
2100,88,8.7117
2110,65,5.0475
2125,75,8.4005
2135,68,7.9734
2150,70,6.8178
2155,68,7.8405
2155,75,8.4005
2171,75,8.1108
2246,75,9.0467
2265,75,7.3048
2490,84,8.6476
2542,75,9.4086
2556,90,7.0213
2620,92,9.1168
2702,96,9.8006
2720,82,7.5876
2735,90,8.7117
2755,89,9.2241
2900,116,9.2604
2930,108,12.3797
2945,110,9.4086
3139,88,13.0675
3210,90,12.1245
3336,100,15.681
3432,72,15.681
3574,78,13.0675
3613,105,13.0675
3672,150,16.801
3672,150,13.8362
3870,130,18.0934
3892,150,15.681
3940,150,12.7143
4129,153,16.801
4215,152,16.2217
4325,190,15.1751
4376,200,23.5215
4380,180,14.2554
4422,190,18.0934
4668,170,14.7009
4699,150,18.0934
5140,175,18.0934
